No.,Call Type,Contacts Alias,City,Province,Country,Call ID
1,Group Call,Worldwide,,,,1
2,Group Call,Metro TG2,,,,2
3,Group Call,North America,,,,3
4,Group Call,Local,,,,9
5,Group Call,Metro TG10,,,,10
6,Group Call,WW English,,,,13
94,Group Call,BM Worldwide,,,,91
95,Group Call,BM North America,,,,93
7,Group Call,DMR Simplex,,,,99
8,Group Call,UAe 1,,,,113
9,Group Call,UAe 2,,,,123
10,Group Call,TAC310,,,,310
11,Group Call,TAC311,,,,311
12,Group Call,TAC312,,,,312
13,Group Call,TAC313,,,,313
14,Group Call,TAC314,,,,314
15,Group Call,TAC315,,,,315
16,Group Call,TAC316,,,,316
17,Group Call,TAC317,,,,317
18,Group Call,TAC318,,,,318
19,Group Call,TAC319,,,,319
93,Group Call,BronxTRBO,,,,444
20,Group Call,USA,,,,1776
21,Group Call,DCI Bridge,,,,3100
22,Group Call,Alabama,,,,3101
23,Group Call,Alaska,,,,3102
24,Group Call,Arizona,,,,3104
25,Group Call,Arkansas,,,,3105
26,Group Call,California,,,,3106
27,Group Call,Colorado,,,,3108
28,Group Call,Connecticut,,,,3109
29,Group Call,Deleware,,,,3110
30,Group Call,D.C.,,,,3111
31,Group Call,Florida,,,,3112
32,Group Call,Georgia,,,,3113
33,Group Call,Hawaii,,,,3115
34,Group Call,Idaho,,,,3116
35,Group Call,Illinois,,,,3117
36,Group Call,Indiana,,,,3118
37,Group Call,Iowa,,,,3119
38,Group Call,Kansas,,,,3120
39,Group Call,Kentucky,,,,3121
40,Group Call,Louisiana,,,,3122
41,Group Call,Maine,,,,3123
42,Group Call,Maryland,,,,3124
43,Group Call,Massachusetts,,,,3125
44,Group Call,Michigan,,,,3126
45,Group Call,Minnesota,,,,3127
46,Group Call,Mississippi,,,,3128
47,Group Call,Missouri,,,,3129
48,Group Call,Montana,,,,3130
49,Group Call,Nebraska,,,,3131
50,Group Call,Nevada,,,,3132
51,Group Call,New Hampshire,,,,3133
52,Group Call,New Jersey,,,,3134
53,Group Call,New Mexico,,,,3135
54,Group Call,New York,,,,3136
55,Group Call,North Carolina,,,,3137
56,Group Call,North Dakota,,,,3138
57,Group Call,Ohio,,,,3139
58,Group Call,Oklahoma,,,,3140
59,Group Call,Oregon,,,,3141
60,Group Call,Pennsylvania,,,,3142
61,Group Call,Rhode Island,,,,3144
62,Group Call,South Carolina,,,,3145
63,Group Call,South Dakota,,,,3146
64,Group Call,Tennessee,,,,3147
65,Group Call,Texas,,,,3148
66,Group Call,Utah,,,,3149
67,Group Call,Vermont,,,,3150
68,Group Call,Virginia,,,,3151
69,Group Call,Washington,,,,3153
70,Group Call,West Virginia,,,,3154
71,Group Call,Wisconsin,,,,3155
72,Group Call,Wyoming,,,,3156
97,Group Call,DCI 1,,,,3160
98,Group Call,DCI USA,,,,3163
73,Group Call,Chicago 2,,,,3166
74,Group Call,Allstar Link,,,,3167
75,Group Call,Midwest,,,,3169
76,Group Call,Northeast,,,,3172
96,Group Call,Mid Atlantic,,,,3173
77,Group Call,Southeast,,,,3174
78,Group Call,Southern Plains,,,,3175
79,Group Call,Southwest,,,,3176
80,Group Call,Mountain,,,,3177
81,Group Call,Chicago 1,,,,3181
82,Group Call,Cactus,,,,3185
94,Group Call,Stroke DMR 1,,,,7777
95,Group Call,Houston,,,,8207
83,Group Call,SE Texas EmComm,,,,8686
93,Group Call,Crossroads,,,,8710
84,Group Call,TAC1,,,,8951
85,Group Call,BM 3148,,,,9000
86,Private Call,Parrot,,,,9998
87,Private Call,Audio Test,,,,9999
88,Group Call,South Texas,,,,31482
89,Group Call,Texas Nexus,,,,31488
90,Group Call,Echo/IRLP,,,,63951
96,Group Call,AR NSX Local,,,,310501
97,Group Call,HR 2.0,,,,314837
91,Group Call,TRBO6 Comm1,,,,3777215
92,Group Call,TRBO6 Comm2,,,,3777216
